Year,Species,Stock,ESU,ER,Citation
1974,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1975,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1976,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1977,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1978,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1979,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1980,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1981,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1982,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1983,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.760919237,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1984,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.704547189,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1985,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.698131274,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1986,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.76817987,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1987,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.820399542,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1988,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.859251974,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1989,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.837240563,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1990,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.865269449,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1991,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.777640482,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1992,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.794924414,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1993,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.779543637,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1994,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.751646928,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1995,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.798359571,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1996,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.67728862,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1997,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.710485763,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1998,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.659432752,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1999,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.520585505,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2000,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.602969071,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2001,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.443327641,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2002,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.483584218,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2003,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.570005911,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2004,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.754414815,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2005,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.585571151,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2006,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.523809524,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2007,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.645385006,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2008,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.061320619,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2009,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.006683192,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2010,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.17032072,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2011,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.423524297,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2012,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.545442384,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2013,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.531997814,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2014,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.614509156,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2015,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.554938439,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2016,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.563119469,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2017,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.676579383,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2018,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.521405298,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2019,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.677021292,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2020,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.608152436,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
2021,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
2022,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1974,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1975,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1976,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1977,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1978,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1979,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1980,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1981,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1982,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1983,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1984,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1985,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1986,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1987,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1988,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1989,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1990,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1991,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1992,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1993,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1994,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1995,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1996,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1997,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1998,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1999,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
2000,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
2001,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.6024,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2002,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.5966,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2003,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.6075,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2004,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.5829,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2005,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.4531,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2006,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.3768,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2007,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.3831,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2008,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.0169,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2009,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.0034,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2010,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.0554,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2011,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.1423,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2012,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.2286,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2013,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.1675,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2014,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.3876,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2015,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.2493,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2016,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.1656,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2017,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.4461,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2018,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,0.121,"Satterthwaite, W.H., E.K. Chen, T.R. McReynolds, A.E. Dean, S.D. Allen, & M.R. OÕFarrell. 2023. Comparing fishery impacts and maturation schedules of hatchery-origin versus natural-origin fish from a threatened Chinook salmon stock. San Fran. Estuary & Watershed Sci. 21(4):3.  https://doi.org/10.15447/sfews.2023v21iss4art3"
2019,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
2020,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
2021,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
2022,Chinook,SRSC,Central Valley Spring-Run Chinook Salmon,NA,NA
1974,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1975,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1976,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1977,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1978,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1979,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),NA,NA
1980,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.034,2015 Status review
1981,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.064,2015 Status review
1982,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.086,2015 Status review
1983,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.088,2015 Status review
1984,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.101,2015 Status review
1985,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.07,2015 Status review
1986,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.078,2015 Status review
1987,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.076,2015 Status review
1988,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.13,2015 Status review
1989,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.099,2015 Status review
1990,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.116,2015 Status review
1991,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.1,2015 Status review
1992,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.076,2015 Status review
1993,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.069,2015 Status review
1994,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.087,2015 Status review
1995,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.0503,2015 Status review
1996,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.0534,2015 Status review
1997,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.0678,2015 Status review
1998,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.052077588,2015 Status review
1999,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.047093402,2015 Status review
2000,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.062785529,2015 Status review
2001,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.144169,2015 Status review
2002,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.124361,2015 Status review
2003,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.093233,2015 Status review
2004,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.107009,2015 Status review
2005,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.078387,2015 Status review
2006,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.0793,2015 Status review
2007,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.080737,2015 Status review
2008,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.159293,2015 Status review
2009,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.103654,2015 Status review
2010,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.168,"WCR, anthony.siniscal"
2011,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.089,"WCR, anthony.siniscal"
2012,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.105,"WCR, anthony.siniscal"
2013,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.091,"WCR, anthony.siniscal"
2014,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.124,"WCR, anthony.siniscal"
2015,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.134,"WCR, anthony.siniscal"
2016,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.113,"WCR, anthony.siniscal"
2017,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.11,"WCR, anthony.siniscal"
2018,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.109,"WCR, anthony.siniscal"
2019,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.072,"WCR, anthony.siniscal"
2020,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.06,"WCR, anthony.siniscal"
2021,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.062,"WCR, anthony.siniscal"
2022,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU_Upper Columbia,Chinook Salmon (Mid-Columbia River Spring-Run),0.106,"WCR, anthony.siniscal"
1974,Chinook,URB,Deschutes River Summer-Fall-run Chinook Salmon,NA,NA
1975,Chinook,URB,Deschutes River Summer-Fall-run Chinook Salmon,NA,NA
1976,Chinook,URB,Deschutes River Summer-Fall-run Chinook Salmon,NA,NA
1977,Chinook,URB,Deschutes River Summer-Fall-run Chinook Salmon,NA,NA
